# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.838711590   17.838713118   17.838710695
   11.051051051   -2.119495244   -2.119495010   -2.119495134
   11.081081081   -2.338856582   -2.338856314   -2.338856430
   11.111111111   -2.429965655   -2.429965361   -2.429965491
   11.141141141   -2.380841870   -2.380841568   -2.380841709
   11.171171171   -2.278166313   -2.278166008   -2.278166162
   11.201201201   -2.182064695   -2.182064388   -2.182064564
   11.231231231   -2.123747965   -2.123747654   -2.123747878
   11.261261261   -2.084388001   -2.084387693   -2.084387978
   11.291291291   -2.017525645   -2.017525340   -2.017525667
   11.321321321   -1.923298616   -1.923298308   -1.923298658
   11.351351351   -1.823184694   -1.823184381   -1.823184741
   11.381381381   -1.740186937   -1.740186622   -1.740186973
   11.411411411   -1.707986022   -1.707985731   -1.707986025
   11.441441441   -1.739738651   -1.739738433   -1.739738608
   11.471471471   -1.779492554   -1.779492416   -1.779492481
   11.501501502   -1.817288122   -1.817288003   -1.817288026
   11.531531532   -1.897708324   -1.897708163   -1.897708193
   11.561561562   -1.958819479   -1.958819258   -1.958819308
   11.591591592   -1.937161461   -1.937161202   -1.937161270
   11.621621622   -1.864629796   -1.864629518   -1.864629598
   11.651651652   -1.778582249   -1.778581964   -1.778582052
   11.681681682   -1.698888217   -1.698887942   -1.698888025
   11.711711712   -1.641746502   -1.641746263   -1.641746328
   11.741741742   -1.620849273   -1.620849077   -1.620849130
   11.771771772   -1.634811057   -1.634810868   -1.634810953
   11.801801802   -1.641336725   -1.641336518   -1.641336659
   11.831831832   -1.605161540   -1.605161316   -1.605161491
   11.861861862   -1.542135509   -1.542135272   -1.542135459
   11.891891892   -1.474076356   -1.474076105   -1.474076296
   11.921921922   -1.415882851   -1.415882581   -1.415882776
   11.951951952   -1.373286170   -1.373285875   -1.373286079
   11.981981982   -1.328429706   -1.328429388   -1.328429605
   12.012012012   -1.266487913   -1.266487574   -1.266487807
   12.042042042   -1.195070198   -1.195069832   -1.195070088
   12.072072072   -1.123089096   -1.123088697   -1.123088982
   12.102102102   -1.055189858   -1.055189429   -1.055189745
   12.132132132   -1.005549013   -1.005548566   -1.005548907
   12.162162162   -1.001440171   -1.001439764   -1.001440087
   12.192192192   -1.055474702   -1.055474444   -1.055474656
   12.222222222   -1.137320857   -1.137320809   -1.137320848
   12.252252252   -1.192462680   -1.192462744   -1.192462671
   12.282282282   -1.218467619   -1.218467652   -1.218467559
   12.312312312   -1.247056526   -1.247056424   -1.247056368
   12.342342342   -1.260477176   -1.260476909   -1.260476909
   12.372372372   -1.230881418   -1.230881020   -1.230881061
   12.402402402   -1.171563514   -1.171563060   -1.171563105
   12.432432432   -1.135020214   -1.135019806   -1.135019824
   12.462462462   -1.169819615   -1.169819405   -1.169819394
   12.492492492   -1.263833697   -1.263833766   -1.263833798
   12.522522523   -1.367588389   -1.367588544   -1.367588753
   12.552552553   -1.445585953   -1.445585988   -1.445586402
   12.582582583   -1.465977600   -1.465977534   -1.465978052
   12.612612613   -1.438995165   -1.438995069   -1.438995598
   12.642642643   -1.393283808   -1.393283710   -1.393284210
   12.672672673   -1.328648887   -1.328648782   -1.328649254
   12.702702703   -1.248109928   -1.248109806   -1.248110263
   12.732732733   -1.162080079   -1.162079935   -1.162080386
   12.762762763   -1.077187151   -1.077186984   -1.077187435
   12.792792793   -1.001177100   -1.001176911   -1.001177364
   12.822822823   -0.952270889   -0.952270684   -0.952271136
   12.852852853   -0.952031848   -0.952031641   -0.952032083
   12.882882883   -0.973740404   -0.973740202   -0.973740632
   12.912912913   -0.973458962   -0.973458759   -0.973459182
   12.942942943   -0.972156309   -0.972156111   -0.972156527
   12.972972973   -0.993126527   -0.993126352   -0.993126752
   13.003003003   -1.011984041   -1.011983893   -1.011984280
   13.033033033   -0.998105696   -0.998105548   -0.998105934
   13.063063063   -0.948165764   -0.948165583   -0.948165975
   13.093093093   -0.877016850   -0.877016629   -0.877017025
   13.123123123   -0.808088991   -0.808088761   -0.808089153
   13.153153153   -0.767665779   -0.767665620   -0.767665991
   13.183183183   -0.784801096   -0.784801094   -0.784801448
   13.213213213   -0.832791953   -0.832792062   -0.832792475
   13.243243243   -0.845081472   -0.845081591   -0.845082085
   13.273273273   -0.850580360   -0.850580451   -0.850580958
   13.303303303   -0.909565134   -0.909565200   -0.909565669
   13.333333333   -0.975546618   -0.975546686   -0.975547146
   13.363363363   -0.996399129   -0.996399201   -0.996399731
   13.393393393   -1.035600973   -1.035601026   -1.035601715
   13.423423423   -1.116981712   -1.116981710   -1.116982600
   13.453453453   -1.177516744   -1.177516599   -1.177517649
   13.483483483   -1.229197817   -1.229197427   -1.229198551
   13.513513514   -1.289619706   -1.289619169   -1.289620183
   13.543543544   -1.337648672   -1.337648285   -1.337648843
   13.573573574   -1.366608334   -1.366608271   -1.366608184
   13.603603604   -1.345160146   -1.345160297   -1.345159829
   13.633633634   -1.282309383   -1.282309594   -1.282309053
   13.663663664   -1.206772576   -1.206772779   -1.206772309
   13.693693694   -1.133584415   -1.133584588   -1.133584250
   13.723723724   -1.066593644   -1.066593779   -1.066593588
   13.753753754   -1.005364387   -1.005364487   -1.005364413
   13.783783784   -0.952349715   -0.952349802   -0.952349784
   13.813813814   -0.912658213   -0.912658301   -0.912658296
   13.843843844   -0.886336329   -0.886336418   -0.886336422
